순번,컬럼명,도메인,역할,비고
62,법인자료_연도완전여부,지자체대응역량,품질,2022·2023년은 0 - 시계열 해석 주의
63,법인자료_관측여부,지자체대응역량,품질,0인 행의 법인 변수는 결측 처리
64,법인자료_최신성주의플래그,지자체대응역량,품질,"상수 아님, 최신성 주의 필요 여부"
65,반출금지구역_이력완전_flag,지자체대응역량,품질,상수 아님
66,확장자료_250to229_source_units,지자체대응역량,품질,다구시 250->229 집계 시 합쳐진 원본 단위 수
67,예찰자료_신뢰_flag,지자체대응역량,제외,2016년 전부 0으로 연도FE와 공선성 큼 - 재선충명시 변수의 결측 판단 기준으로 쓰면 안 됨
68,도로소나무비율_500m,인위적확산,핵심,면적 통제(log_소나무림면적 동반) 후 부호 (+)로 재해석
69,주거지소나무비율_300m,인위적확산,제외,"도로비율과 r=0.82, 전 시군구 시불변(SD=0)"
70,log1p_원목생산업체수,인위적확산,핵심,"면적 통제 후 부호 (-)로 재해석 - ""핵심"" 서술 재작성 필요했던 변수"
71,면적_0_의심_flag,공통(소나무림면적),제외,전 패널에서 항상 0인 상수 컬럼
72,도로인접소나무면적_500m_ha_복원,인위적확산,검산,도로소나무비율_500m의 분자 원자료
73,주거지인접소나무면적_300m_ha_복원,인위적확산,검산,주거지소나무비율_300m의 분자 원자료
74,원목생산업체수_누적stock,인위적확산,검산,log1p_원목생산업체수의 원자료
75,당해연도_신규원목생산업체수,인위적확산,검산,
76,임상도판_후기_flag,인위적확산,품질,2019년판/2024년판 구분
77,도로소나무비율_500m_최종사용_flag,인위적확산,품질,
78,주거지소나무비율_300m_최종사용_flag,인위적확산,품질,
79,원목생산업체수_조건부핵심_flag,인위적확산,품질,
80,log면적_동시투입필수_flag,인위적확산,품질,log_소나무림면적과 동시 투입 필요함을 표시
81,집계구분_인위적확산,인위적확산,품질,다구시 집계 방식(일반구합산 등) - 지자체대응역량과 의미 다름 주의
82,국비지원액_최종_원,국가대응수준,검산,31개 시군구 로버스트니스 전용 원자료
83,log_국비지원액_최종_원,국가대응수준,민감도,31개 시군구 로버스트니스 전용 - 메인 229모형 미포함
84,산림면적당_국비지원액_최종(원per ha),국가대응수준,검산,로그변수의 원자료
85,log_국비지원액_최종_per_ha,국가대응수준,민감도,31개 시군구 로버스트니스 전용
86,log_국비지원액_직접방제_원,국가대응수준,민감도,31개 시군구 로버스트니스 전용
87,log_국비지원액_예찰진단_원,국가대응수준,민감도,31개 시군구 로버스트니스 전용
88,예찰진단_예산비중,국가대응수준,민감도,31개 시군구 로버스트니스 전용
89,국비비율_최종(%),국가대응수준,민감도,31개 시군구 로버스트니스 전용
90,국비비율_결측_flag,국가대응수준,품질,
91,매칭사업수_최종,국가대응수준,민감도,31개 시군구 로버스트니스 전용
92,매칭사업_없음_flag,국가대응수준,품질,
93,index_eligible,국가대응수준,품질,31개 실측 시군구 해당 여부
94,국가대응수준_관측포함,국가대응수준,품질,병합 시 추가한 파생 플래그. 1=31개 실측 시군구
